Playlist, Artist, Name 
Throwback Alternative, Talking Heads, This Must Be the Place (Naive Melody)
Rock Bangers, Rise Against, Savior
Throwback Alternative, Annie Lennox, No More I Love You's
Throwback Alternative, Annie Lennox, Sweet Dreams (Are Made Of This)
Rock Bangers, All That Remains, Two Weeks
Vibes, MELVV, Vibe
Throwback Alternative, The Ronettes, Be My Baby
Emo Forever, blink-182, I Miss You
Throwback Alternative, Maneater, Daryl Hall & John Oates
Throwback Alternative, Supertramp, Breakfast In America
Rock Bangers, Killswitch Engage, Holy Driver 
90s Rap, Wu-Tang Clan, CREAM
Throwback Alternative, Fleetwood Mac, Everywhere
Rock Bangers, Black Sabbath, Paranoid
Throwback Alternative, Fleetwood Mac, Dreams
90s Rap, Skee-Lo, I Wish
Throwback Alternative, George Harrison, My Sweet Lord
Throwback Alternative, Bleachers, Modern Girl
Emo Forever, Taking Back Sunday, MakeDamnSure
Emo Forever, Paramore, Misery Business
Throwback Alternative, Fleetwood Mac, The Chain
Emo Forever, Fall Out Boy, Sugar We're Goin Down
Emo Forever, The Fall of Troy, FCPREMIX
Throwback Alternative, Amy Winehouse, Back To Black
Emo Forever, The Red Jumpsuit Apparatus, Face Down
Throwback Alternative, Talking Heads, Psycho Killer
Throwback Alternative, Carly Simon, You're So Vain
Emo Forever, Paramore, That's What You Generator
Vibes, Drake, Feel No Ways
Emo Forever, Taking Back Sunday, You're So Last Summer
90s Rap, Souls Of Mischief, 93 Til Infinity
Emo Forever, Good Charlotte, The Anthem
90s Rap, The Notorious BIG, The What
90s Rap, Naughty By Nature, Feel Me Flow
Rock Bangers, Limp Bizkit, Break Stuff
90s Rap, Raekwon, Ice Cream
Throwback Alternative, Stevie Nicks, Edge Of Seventeen
90s Rap, Fergie, Glamorous
Emo Forever, The All-American Rejects, Dirty Little Secret
Vibes, ASAP Rocky, Purity
Vibes, Mac Miller, ROS
90s Rap, Twista, Overnight Celebrity
90s Rap, G-Unit, Poppin' Them Thangs
Vibes, Frank Ocean, Biking
Rock Bangers, T-Pain, War Pigs 
Vibes, Future, Codeine Crazy
Rock Bangers, Metallica, Master of Puppets
Rock Bangers, Megadeth, Tornado Of Souls
Vibes, North Face, ODIE
Rock Bangers, Avenged Sevenfold, Hail to the King
Throwback Alternative, Amy Winehouse, Me & Mr Jones
Vibes, Mac Miller, ROS
Rock Bangers, Breaking Benjamin, I Will Not Bow
Throwback Alternative, Dexys Midnight Runners, Come On Eileen
Rock Bangers, Rage Against The Machine, Bulls On Parade
Rock Bangers, Limp Bizkit, Rollin'
Vibes, Mac Miller, Dunno
Rock Bangers, Slayer, Raining Blood
Rock Bangers, Slipknot, Duality
Vibes, ASAP Rocky, Purity
Rock Bangers, AC/DC, Hells Bells
Vibes, Frank Ocean, Chanel
Vibes, KAYTRANADA, Intimidated
90s Rap, Ol Dirty Bastard, Shimmy Shimmy Ya
Vibes, Drake, Pain 1993
Rock Bangers, Linkin Park, One Step Closer
Rock Bangers, Rise Against, Prayer Of The Refugee
Vibes, Bakar, Hell N Back
Emo Forever, Matchbook Romance, Monsters
Vibes, 2 Chainz, Long Story Short
Vibes, Yame, Becane
Emo Forever, Simple Plan, I'm Just a Kid
Throwback Alternative, David Bowie, Starman
